id,street_name,limits,northbound_count,southbound_count,eastbound_count,westbound_count,total_count,date_count,year,month,day
01AV018207,01 AV,A ST - ASH ST,18010,0.0,0.0,0.0,18010,2007-03-13,2007,3,13
01AV015210,01 AV,A ST - ASH ST,20060,0.0,0.0,0.0,20060,2010-03-18,2010,3,18
01AV018213,01 AV,A ST - ASH ST,19597,0.0,0.0,0.0,19597,2013-03-12,2013,3,12
01AV007721,01 AV,A ST - ASH ST,10640,0.0,0.0,0.0,10640,2021-03-10,2021,3,10
01AV088812,01 AV,ASH ST - BEECH ST,2298,0.0,0.0,0.0,2298,2012-12-11,2012,12,11
01AV068711,01 AV,B ST - A ST,15625,0.0,0.0,0.0,15625,2011-09-01,2011,9,1
01AV000714,01 AV,B ST - A ST,13569,0.0,0.0,0.0,13569,2014-02-11,2014,2,11
01AV048412,01 AV,B ST - C ST,13389,0.0,0.0,0.0,13389,2012-05-31,2012,5,31
01AV048115,01 AV,B ST - C ST,13995,0.0,0.0,0.0,13995,2015-06-17,2015,6,17
01AV019406,01 AV,BEECH ST - CEDAR ST,27450,0.0,0.0,0.0,27450,2006-03-23,2006,3,23
01AV017909,01 AV,BEECH ST - CEDAR ST,22345,0.0,0.0,0.0,22345,2009-03-31,2009,3,31
01AV018912,01 AV,BEECH ST - CEDAR ST,18742,0.0,0.0,0.0,18742,2012-03-08,2012,3,8
01AV022415,01 AV,BEECH ST - CEDAR ST,24463,0.0,0.0,0.0,24463,2015-04-30,2015,4,30
01AV005516,01 AV,BEECH ST - CEDAR ST,25715,0.0,0.0,0.0,25715,2016-03-30,2016,3,30
01AV010220,01 AV,BEECH ST - CEDAR ST,16482,0.0,0.0,0.0,16482,2020-03-12,2020,3,12
01AV058207,01 AV,E ST - BROADWAY ST,10410,0.0,0.0,0.0,10410,2008-01-08,2008,1,8
01AV000611,01 AV,E ST - BROADWAY ST,12905,0.0,0.0,0.0,12905,2011-02-08,2011,2,8
01AV000814,01 AV,E ST - BROADWAY ST,11278,0.0,0.0,0.0,11278,2014-02-11,2014,2,11
01AV016105,01 AV,ELM ST - FIR ST,3920,0.0,0.0,0.0,3920,2006-03-30,2006,3,30
01AV018909,01 AV,ELM ST - FIR ST,3285,0.0,0.0,0.0,3285,2009-03-31,2009,3,31
01AV019012,01 AV,ELM ST - FIR ST,3414,0.0,0.0,0.0,3414,2012-03-08,2012,3,8
01AV114314,01 AV,ELM ST - FIR ST,3419,0.0,0.0,0.0,3419,2014-08-05,2014,8,5
01AV022515,01 AV,ELM ST - FIR ST,3477,0.0,0.0,0.0,3477,2015-04-30,2015,4,30
01AV006516,01 AV,ELM ST - FIR ST,3474,0.0,0.0,0.0,3474,2016-03-01,2016,3,1
01AV048312,01 AV,F ST - E ST,11148,0.0,0.0,0.0,11148,2012-05-10,2012,5,10
01AV041815,01 AV,F ST - E ST,11421,0.0,0.0,0.0,11421,2015-06-09,2015,6,9
01AV048212,01 AV,F ST - G ST,10003,0.0,0.0,0.0,10003,2012-05-10,2012,5,10
01AV041915,01 AV,F ST - G ST,10774,0.0,0.0,0.0,10774,2015-06-10,2015,6,10
01AV068611,01 AV,GRAPE ST - HAWTHORN ST,3210,610.0,0.0,0.0,3820,2011-08-30,2011,8,30
01AV000914,01 AV,GRAPE ST - HAWTHORN ST,3566,502.0,0.0,0.0,4068,2014-02-11,2014,2,11
01AV114214,01 AV,GRAPE ST - HAWTHORN ST,3038,514.0,0.0,0.0,3552,2014-08-05,2014,8,5
01AV110615,01 AV,ISLAND AV - E HARBOR DR,3355,0.0,0.0,0.0,3355,2015-12-22,2015,12,22
01AV058407,01 AV,ISLAND AV - MARKET ST,4770,0.0,0.0,0.0,4770,2008-01-08,2008,1,8
01AV072208,01 AV,ISLAND AV - MARKET ST,5690,0.0,0.0,0.0,5690,2008-11-25,2008,11,25
01AV000811,01 AV,ISLAND AV - MARKET ST,6315,0.0,0.0,0.0,6315,2011-01-27,2011,1,27
01AV108311,01 AV,ISLAND AV - MARKET ST,6505,0.0,0.0,0.0,6505,2011-11-17,2011,11,17
01AV001014,01 AV,ISLAND AV - MARKET ST,5067,0.0,0.0,0.0,5067,2014-02-11,2014,2,11
01AV001214,01 AV,JUNIPER ST - KALIMA ST,2600,2103.0,0.0,0.0,4703,2014-02-11,2014,2,11
01AV011022,01 AV,JUNIPER ST - KALMIA  ST,3250,2592.0,0.0,0.0,5842,2022-03-16,2022,3,16
01AV008305,01 AV,JUNIPER ST - KALMIA ST,3060,2040.0,0.0,0.0,5100,2005-03-29,2005,3,29
01AV012808,01 AV,JUNIPER ST - KALMIA ST,3810,3480.0,0.0,0.0,7290,2008-03-20,2008,3,20
01AV031911,01 AV,JUNIPER ST - KALMIA ST,2775,445.0,0.0,0.0,3220,2011-05-25,2011,5,25
01AV114114,01 AV,JUNIPER ST - KALMIA ST,2411,2036.0,0.0,0.0,4447,2014-08-05,2014,8,5
01AV005118,01 AV,JUNIPER ST - KALMIA ST,2860,2402.0,0.0,0.0,5262,2018-03-13,2018,3,13
01AV058307,01 AV,MARKET ST - G ST,9770,0.0,0.0,0.0,9770,2008-01-08,2008,1,8
01AV072108,01 AV,MARKET ST - G ST,10285,0.0,0.0,0.0,10285,2008-11-25,2008,11,25
01AV000711,01 AV,MARKET ST - G ST,12170,0.0,0.0,0.0,12170,2011-01-27,2011,1,27
01AV108211,01 AV,MARKET ST - G ST,10395,0.0,0.0,0.0,10395,2011-11-17,2011,11,17
01AV001314,01 AV,MARKET ST - G ST,526,0.0,0.0,0.0,526,2014-02-11,2014,2,11
01AV001314,01 AV,MARKET ST - G ST,526,0.0,0.0,0.0,526,2014-02-11,2014,2,11
01AV013206,01 AV,PALM ST - QUINCE ST,2580,3190.0,0.0,0.0,5770,2006-04-18,2006,4,18
01AV026809,01 AV,PALM ST - QUINCE ST,550,460.0,0.0,0.0,1010,2009-04-21,2009,4,21
01AV029112,01 AV,PALM ST - QUINCE ST,2868,2448.0,0.0,0.0,5316,2012-04-19,2012,4,19
01AV036315,01 AV,PALM ST - QUINCE ST,2377,2157.0,0.0,0.0,4534,2015-06-03,2015,6,3
01AV007716,01 AV,PALM ST - QUINCE ST,3398,2385.0,0.0,0.0,5783,2016-04-06,2016,4,6
