,date_time,injured,killed,street_name_primary,street_name_intersecting
0,2015-01,0,0,JUNIPER STREET,
1,2015-03,0,0,LINDA VISTA ROAD,
2,2015-03,2,0,WASHINGTON STREET,
3,2015-03,1,0,WORDEN STREET,
4,2015-07,0,0,EL CAJON BOULEVARD,
10,2016-01,0,0,SHAWLINE STREET,
11,2016-01,0,0,SHAWLINE STREET,
12,2016-01,2,0,UNIVERSITY AVENUE,
13,2016-01,2,0,UNIVERSITY AVENUE,
14,2016-01,0,0,MEADE AVENUE,
15,2016-01,0,0,BACON STREET,
16,2016-01,0,0,LOMICA DRIVE,
20,2016-02,0,0,EL CAJON BOULEVARD,
23,2016-02,0,0,BLACK MTN ROAD,
24,2016-03,0,0,MIRA MESA BOULEVARD,
25,2016-03,1,0,LINDA VISTA ROAD,
32,2016-05,1,0,MIRAMAR ROAD,
33,2016-05,1,0,MIRAMAR ROAD,
35,2016-05,0,0,MIRA MESA BOULEVARD,
36,2016-06,0,0,PACIFIC BEACH DRIVE,
37,2016-06,0,0,PACIFIC BEACH DRIVE,
39,2016-06,0,0,GIRARD AVENUE,
40,2016-06,4,0,MARKET STREET,
41,2016-06,4,0,MARKET STREET,
44,2016-06,0,0,UNIVERSITY AVENUE,
45,2016-06,0,0,LINCOLN AVENUE,
50,2016-07,0,0,LA JOLLA VILLAGE DRIVE,
53,2016-07,1,0,BROOKHAVEN ROAD,
54,2016-07,0,0,FRIARS ROAD,
55,2016-07,1,0,GRAPE STREET,
56,2016-07,2,0,MIRA MESA BOULEVARD,
57,2016-07,2,0,MIRA MESA BOULEVARD,
58,2016-07,2,0,MIRA MESA BOULEVARD,
61,2016-07,1,0,UPAS STREET,
62,2016-07,1,0,UPAS STREET,
63,2016-07,1,0,SASSAFRAS STREET,
67,2016-07,0,0,SATURN BOULEVARD,
68,2016-07,0,0,SATURN BOULEVARD,
69,2016-07,0,0,LAUREL STREET,
70,2016-07,0,0,FRIARS ROAD,
73,2016-07,4,0,BALBOA AVENUE,
74,2016-07,4,0,BALBOA AVENUE,
76,2016-07,1,0,PALM AVENUE,
79,2016-07,0,0,MARKET STREET,
80,2016-07,0,0,HOME AVENUE,
82,2016-07,2,0,TED WILLIAMS PARKWAY,
83,2016-07,2,0,TED WILLIAMS PARKWAY,
84,2016-07,1,0,ROSECRANS STREET,
87,2016-07,0,0,GENESEE AVENUE,
88,2016-07,0,0,GENESEE AVENUE,
93,2016-07,0,0,CLAIREMONT MESA BOULEVARD,
98,2016-08,1,0,UNIVERSITY AVENUE,
99,2016-08,1,0,UNIVERSITY AVENUE,
100,2016-08,1,0,TORREY PINES ROAD,
101,2016-08,1,0,TORREY PINES ROAD,
102,2016-08,0,0,CORONADO AVENUE,
103,2016-08,0,0,EL CAJON BOULEVARD,
104,2016-08,1,0,LINCOLN AVENUE,
105,2016-08,1,0,LINCOLN AVENUE,
106,2016-08,0,0,MONROE AVENUE,
107,2016-08,0,0,MONROE AVENUE,
111,2016-08,0,0,MARKET STREET,
112,2016-08,2,0,PALM STREET,
113,2016-08,2,0,PALM STREET,
114,2016-08,3,0,PALM AVENUE,
115,2016-08,3,0,PALM AVENUE,
116,2016-08,3,0,PALM AVENUE,
117,2016-08,0,0,PENNSYLVANIA AVENUE,
119,2016-08,1,0,SCOTT STREET,
121,2016-08,2,0,OLD TOWN AVENUE,
122,2016-08,2,0,OLD TOWN AVENUE,
123,2016-08,2,0,OLD TOWN AVENUE,
124,2016-08,2,0,OLD TOWN AVENUE,
125,2016-08,1,0,SUNSET CLIFFS BOULEVARD,
126,2016-08,1,0,SUNSET CLIFFS BOULEVARD,
127,2016-08,1,0,CLAIREMONT DRIVE,
131,2016-08,1,0,PALM AVENUE,
132,2016-08,1,0,PALM AVENUE,
133,2016-08,0,0,IMPERIAL AVENUE,
134,2016-08,1,0,NOBEL DRIVE,
135,2016-08,0,0,AERO DRIVE,
136,2016-08,1,0,FASHION VALLEY ROAD,
137,2016-08,0,0,ADAMS AVENUE,
138,2016-08,0,0,ADAMS AVENUE,
140,2016-08,2,0,UNIVERSITY AVENUE,
141,2016-08,2,0,UNIVERSITY AVENUE,
144,2016-08,1,0,FEDERAL BOULEVARD,
145,2016-08,1,0,FEDERAL BOULEVARD,
147,2016-08,1,0,RANCHO BERNARDO ROAD,
148,2016-08,1,0,RANCHO BERNARDO ROAD,
149,2016-08,1,0,NOBEL DRIVE,
150,2016-08,1,0,NOBEL DRIVE,
152,2016-08,1,0,BLACK MTN ROAD,
153,2016-08,0,0,PACIFIC BEACH DRIVE,
154,2016-08,0,0,SCRIPPS POWAY PARKWAY,
155,2016-08,0,0,SCRIPPS POWAY PARKWAY,
156,2016-08,0,0,GENESEE AVENUE,
157,2016-08,0,0,GENESEE AVENUE,
163,2016-08,2,0,BALBOA AVENUE,
164,2016-08,2,0,BALBOA AVENUE,
165,2016-08,2,0,BALBOA AVENUE,
166,2016-08,2,0,BEYER BOULEVARD,
167,2016-08,2,0,BEYER BOULEVARD,
168,2016-08,0,0,MARLBOROUGH DRIVE,
169,2016-08,0,0,UNIVERSITY AVENUE,
170,2016-08,0,0,UPAS STREET,
171,2016-08,0,0,UPAS STREET,
172,2016-08,1,0,OCEAN VIEW BOULEVARD,
173,2016-08,1,0,OCEAN VIEW BOULEVARD,
174,2016-08,1,0,OCEAN VIEW BOULEVARD,
176,2016-08,0,0,LANDIS STREET,
178,2016-08,1,0,ORANGE AVENUE,
179,2016-08,1,0,ORANGE AVENUE,
183,2016-08,0,0,GENESEE AVENUE,
184,2016-08,1,0,UNIVERSITY AVENUE,
185,2016-08,0,0,MONROE AVENUE,
186,2016-08,0,0,SEA WORLD DRIVE,
187,2016-08,0,0,SEA WORLD DRIVE,
190,2016-08,1,0,EL CAJON BOULEVARD,
191,2016-08,1,0,EL CAJON BOULEVARD,
196,2016-08,1,0,GRAMERCY DRIVE,
197,2016-08,1,0,GRAMERCY DRIVE,
200,2016-08,1,0,CARMEL VALLEY ROAD,TORREY DEL MAR DRIVE
201,2016-08,1,0,CARMEL VALLEY ROAD,TORREY DEL MAR DRIVE
202,2016-08,1,0,UNIVERSITY AVENUE,
203,2016-08,2,0,LA JOLLA SHORES DRIVE,
204,2016-08,2,0,LA JOLLA SHORES DRIVE,
206,2016-08,1,0,HOLLISTER STREET,
207,2016-08,1,0,HOLLISTER STREET,
208,2016-08,0,0,HOLIDAY COURT,
210,2016-08,0,0,JACKSON DRIVE,
212,2016-08,1,0,MIRAMAR ROAD,
213,2016-08,1,0,MIRAMAR ROAD,
216,2016-08,0,0,PARKSIDE AVENUE,
217,2016-08,1,0,DEL MAR HEIGHTS ROAD,
218,2016-08,1,0,DEL MAR HEIGHTS ROAD,
219,2016-08,0,0,MIRAMAR ROAD,
220,2016-08,0,0,SKYLINE DRIVE,
221,2016-08,1,0,EUCLID AVENUE,
225,2016-08,0,0,HILLERY DRIVE,
226,2016-08,0,0,SANDROCK ROAD,
227,2016-08,0,0,SANDROCK ROAD,
228,2016-08,0,0,UNIVERSITY AVENUE,
229,2016-08,2,0,CHURCHWARD STREET,
230,2016-08,1,0,GILMAN DRIVE,
231,2016-08,1,0,GILMAN DRIVE,
232,2016-08,1,0,FLORIDA DRIVE,
233,2016-08,1,0,FLORIDA DRIVE,
234,2016-08,0,0,WOODMAN STREET,
235,2016-08,0,0,WOODMAN STREET,
236,2016-08,2,0,ORANGE AVENUE,
237,2016-08,2,0,ORANGE AVENUE,
238,2016-08,1,0,SEA WORLD DRIVE,SUNSET CLIFFS BOULEVARD
239,2016-08,1,0,SEA WORLD DRIVE,SUNSET CLIFFS BOULEVARD
241,2016-08,0,0,FAIRMOUNT AVENUE,
242,2016-08,0,0,LA JOLLA PARKWAY,
243,2016-08,0,0,BEECH STREET,
244,2016-08,0,0,CANON STREET,
253,2016-08,0,0,SPORTS ARENA BOULEVARD,
254,2016-08,0,0,COLLEGE GROVE DRIVE,
255,2016-08,0,0,FRIARS ROAD,
264,2016-08,3,0,MIRA MESA BOULEVARD,
265,2016-08,3,0,MIRA MESA BOULEVARD,
266,2016-08,0,0,RANCHO PENASQUITOS BOULEVARD,
267,2016-08,2,0,TOWNSGATE DRIVE,
268,2016-08,2,0,TOWNSGATE DRIVE,
270,2016-08,0,0,NORTH HARBOR DRIVE,
271,2016-08,0,0,NORTH HARBOR DRIVE,
272,2016-08,0,0,NORTH HARBOR DRIVE,
273,2016-08,0,0,NORTH HARBOR DRIVE,
277,2016-08,0,0,UNIVERSITY AVENUE,
279,2016-08,0,0,MISSION GORGE ROAD,
280,2016-08,1,0,PACIFIC HIGHWAY,
281,2016-08,1,0,PACIFIC HIGHWAY,
282,2016-08,1,0,GOVERNOR DRIVE,
284,2016-08,0,0,LA JOLLA VILLAGE DRIVE,
286,2016-08,1,0,ADAMS AVENUE,ARIZONA STREET
289,2016-08,0,0,GIRARD AVENUE,
290,2016-08,0,0,SCRIPPS POWAY PARKWAY,
291,2016-08,0,0,GARNET AVENUE,
292,2016-08,4,0,DENNERY ROAD,
293,2016-08,4,0,DENNERY ROAD,
295,2016-08,1,0,MISSION GORGE ROAD,
296,2016-08,1,0,MISSION GORGE ROAD,
297,2016-08,0,0,HOWARD AVENUE,MISSISSIPPI STREET
298,2016-08,0,0,JUNIPER STREET,
299,2016-08,0,0,CLAIREMONT MESA BOULEVARD,
300,2016-08,0,0,FLORIDA STREET,
301,2016-08,0,0,PALM AVENUE,
302,2016-08,0,0,ADAMS AVENUE,
303,2016-08,0,0,A STREET,
306,2016-08,0,0,IMPERIAL AVENUE,
307,2016-08,0,0,REGENTS ROAD,
308,2016-08,2,0,CLAIREMONT MESA BOULEVARD,
309,2016-08,2,0,CLAIREMONT MESA BOULEVARD,
310,2016-08,1,0,ADAMS AVENUE,
313,2016-08,0,0,MIRA MESA BOULEVARD,
314,2016-08,0,0,RUFFIN ROAD,
315,2016-08,1,0,QUALCOMM WAY,
316,2016-08,1,0,QUALCOMM WAY,
317,2016-08,1,0,QUALCOMM WAY,
318,2016-08,0,0,NATIONAL AVENUE,
319,2016-08,0,0,POMERADO ROAD,
324,2016-08,1,0,PACIFIC BEACH DRIVE,
325,2016-08,1,0,PACIFIC BEACH DRIVE,
326,2016-08,0,0,CARMEL VALLEY ROAD,
327,2016-08,1,0,WASHINGTON STREET,
328,2016-08,1,0,WASHINGTON STREET,
329,2016-08,0,0,EL CAJON BOULEVARD,
330,2016-08,0,0,TED WILLIAMS PARKWAY,
331,2016-08,2,0,TAYLOR STREET,
333,2016-08,0,0,CARMEL MTN ROAD,
335,2016-08,1,0,JACKSON DRIVE,
336,2016-08,1,0,JACKSON DRIVE,
337,2016-08,0,0,CARMEL MTN ROAD,
338,2016-08,0,0,INDIA STREET,
339,2016-08,0,0,EL CAJON BOULEVARD,
340,2016-08,0,0,LINDA VISTA ROAD,
341,2016-08,0,1,REGENTS ROAD,
342,2016-08,0,1,REGENTS ROAD,
343,2016-08,2,0,MORENA BOULEVARD,
345,2016-08,0,0,FEDERAL BOULEVARD,
346,2016-08,0,0,SPORTS ARENA BOULEVARD,
352,2016-08,0,0,BOUNDARY STREET,
353,2016-08,1,0,HARBOR DRIVE,
354,2016-08,1,0,HARBOR DRIVE,
355,2016-08,1,0,HARBOR DRIVE,
356,2016-08,1,0,SAN YSIDRO BOULEVARD,
357,2016-08,1,0,SAN YSIDRO BOULEVARD,
358,2016-08,0,0,HARBOR DRIVE,
359,2016-08,0,0,HARBOR DRIVE,
362,2016-08,2,0,LA JOLLA PARKWAY,
363,2016-08,2,0,LA JOLLA PARKWAY,
364,2016-08,0,0,FRIARS ROAD,
365,2016-08,1,0,GRAND AVENUE,LAMONT STREET
366,2016-08,1,0,GRAND AVENUE,LAMONT STREET
367,2016-08,1,0,GRAND AVENUE,LAMONT STREET
369,2016-08,1,0,SABRE SPRINGS PARKWAY,
370,2016-08,5,0,FAIRMOUNT AVENUE,
371,2016-08,5,0,FAIRMOUNT AVENUE,
372,2016-08,5,0,FAIRMOUNT AVENUE,
373,2016-08,5,0,FAIRMOUNT AVENUE,
374,2016-08,0,0,LINDA VISTA ROAD,
