,date_count,street_name,total_count
0,2007-03,01 AVENUE,18010
1,2010-03,01 AVENUE,20060
2,2013-03,01 AVENUE,19597
3,2021-03,01 AVENUE,10640
4,2012-12,01 AVENUE,2298
5,2011-09,01 AVENUE,15625
6,2014-02,01 AVENUE,13569
7,2012-05,01 AVENUE,13389
8,2015-06,01 AVENUE,13995
9,2006-03,01 AVENUE,27450
10,2009-03,01 AVENUE,22345
11,2012-03,01 AVENUE,18742
12,2015-04,01 AVENUE,24463
13,2016-03,01 AVENUE,25715
14,2020-03,01 AVENUE,16482
15,2008-01,01 AVENUE,10410
16,2011-02,01 AVENUE,12905
17,2014-02,01 AVENUE,11278
18,2006-03,01 AVENUE,3920
19,2009-03,01 AVENUE,3285
20,2012-03,01 AVENUE,3414
21,2014-08,01 AVENUE,3419
22,2015-04,01 AVENUE,3477
23,2016-03,01 AVENUE,3474
24,2012-05,01 AVENUE,11148
25,2015-06,01 AVENUE,11421
26,2012-05,01 AVENUE,10003
27,2015-06,01 AVENUE,10774
28,2011-08,01 AVENUE,3820
29,2014-02,01 AVENUE,4068
30,2014-08,01 AVENUE,3552
31,2015-12,01 AVENUE,3355
32,2008-01,01 AVENUE,4770
33,2008-11,01 AVENUE,5690
34,2011-01,01 AVENUE,6315
35,2011-11,01 AVENUE,6505
36,2014-02,01 AVENUE,5067
37,2014-02,01 AVENUE,4703
38,2022-03,01 AVENUE,5842
39,2005-03,01 AVENUE,5100
40,2008-03,01 AVENUE,7290
41,2011-05,01 AVENUE,3220
42,2014-08,01 AVENUE,4447
43,2018-03,01 AVENUE,5262
44,2008-01,01 AVENUE,9770
45,2008-11,01 AVENUE,10285
46,2011-01,01 AVENUE,12170
47,2011-11,01 AVENUE,10395
48,2014-02,01 AVENUE,526
49,2014-02,01 AVENUE,526
50,2006-04,01 AVENUE,5770
51,2009-04,01 AVENUE,1010
52,2012-04,01 AVENUE,5316
53,2015-06,01 AVENUE,4534
54,2016-04,01 AVENUE,5783
55,2005-03,01 AVENUE,7460
56,2008-02,01 AVENUE,8040
57,2011-03,01 AVENUE,7525
58,2014-02,01 AVENUE,7782
59,2014-08,01 AVENUE,8096
60,2018-03,01 AVENUE,7715
61,2022-03,01 AVENUE,7301
62,2009-10,01 AVENUE,8295
63,2008-03,01 AVENUE,10500
64,2011-05,01 AVENUE,10975
65,2014-02,01 AVENUE,9051
66,2014-08,01 AVENUE,7609
67,2021-03,01 AVENUE,3008
68,2007-03,01 AVENUE,15520
69,2010-03,01 AVENUE,15890
70,2013-02,01 AVENUE,16050
71,2014-08,01 AVENUE,13708
72,2014-10,01 AVENUE,5423
73,2014-10,01 AVENUE,4861
74,2007-03,01 AVENUE,6050
75,2010-03,01 AVENUE,5580
76,2013-02,01 AVENUE,5974
77,2017-03,01 AVENUE,5547
78,2018-03,01 AVENUE,9299
79,2021-03,01 AVENUE,4949
80,2005-03,01 AVENUE,5400
81,2008-03,01 AVENUE,5240
82,2011-05,01 AVENUE,5305
83,2014-02,01 AVENUE,4833
84,2018-03,01 AVENUE,4874
85,2022-03,01 AVENUE,4959
